smiles,temperature
CCCOC(=O)C(C)=C,0.005319149
CCCOC(=O)C(C)=C,0.003869595
CCCOC(=O)C(C)=C,0.0030409
CCCOC(=O)C(C)=C,0.002504539
CCCOC(=O)C(C)=C,0.002129019
c1ccccc1/C=C/C,0.004101386
c1ccccc1/C=C/C,0.003381606
c1ccccc1/C=C/C,0.002876746
c1ccccc1/C=C/C,0.002503051
c1ccccc1/C=C/C,0.002215281
NC=O,0.003627131
NC=O,0.003030073
NC=O,0.002601795
NC=O,0.002279592
NC=O,0.002028398
CC(=O)C=O,0.003355705
CC(=O)C=O,0.003025902
CC(=O)C=O,0.002755125
CC(=O)C=O,0.002528829
CC(=O)C=O,0.002336885
CCC(O)CC,0.004898359
CCC(O)CC,0.003773122
CCC(O)CC,0.003068285
CCC(O)CC,0.002585332
CCC(O)CC,0.002233738
CCCCCCCCCCS,0.004039425
CCCCCCCCCCS,0.003187175
CCCCCCCCCCS,0.002631891
CCCCCCCCCCS,0.002241386
CCCCCCCCCCS,0.001951791
c1(C(C)C)c(C)cccc1,0.004959333
c1(C(C)C)c(C)cccc1,0.003786982
c1(C(C)C)c(C)cccc1,0.003062928
c1(C(C)C)c(C)cccc1,0.002571306
c1(C(C)C)c(C)cccc1,0.002215674
ClCOC,0.005894489
ClCOC,0.004752852
ClCOC,0.003981684
ClCOC,0.003425831
ClCOC,0.003006163
BrCCCBr,0.004191115
BrCCCBr,0.003173898
BrCCCBr,0.002554017
BrCCCBr,0.002136706
BrCCCBr,0.001836615
CC(CC1C)(CCC1)C,0.004821601
CC(CC1C)(CCC1)C,0.003876044
CC(CC1C)(CCC1)C,0.003240546
CC(CC1C)(CCC1)C,0.002784081
CC(CC1C)(CCC1)C,0.002440334
C[Si](C)(C)O[Si](C)(C)C,0.004879715
C[Si](C)(C)O[Si](C)(C)C,0.00352799
C[Si](C)(C)O[Si](C)(C)C,0.002762698
C[Si](C)(C)O[Si](C)(C)C,0.002270238
C[Si](C)(C)O[Si](C)(C)C,0.001926782
C[Si](C)(C)N[Si](C)(C)C,0.003411223
C[Si](C)(C)N[Si](C)(C)C,0.003128422
C[Si](C)(C)N[Si](C)(C)C,0.002888921
C[Si](C)(C)N[Si](C)(C)C,0.002683483
C[Si](C)(C)N[Si](C)(C)C,0.002505324
CC(S)(C)CC(C)(C)C,0.005025126
CC(S)(C)CC(C)(C)C,0.003899966
CC(S)(C)CC(C)(C)C,0.003186489
CC(S)(C)CC(C)(C)C,0.002693693
CC(S)(C)CC(C)(C)C,0.002332906
CC(C)=CC(C)(C)C,0.005993766
CC(C)=CC(C)(C)C,0.004552801
CC(C)=CC(C)(C)C,0.003670398
CC(C)=CC(C)(C)C,0.003074511
CC(C)=CC(C)(C)C,0.002645083
C=C(C)CC(C)(C)C,0.00556483
C=C(C)CC(C)(C)C,0.004377852
C=C(C)CC(C)(C)C,0.00360822
C=C(C)CC(C)(C)C,0.003068732
C=C(C)CC(C)(C)C,0.002669585
CCc1c(C)cc(C)c(C)c1,0.003843936
CCc1c(C)cc(C)c(C)c1,0.003006863
CCc1c(C)cc(C)c(C)c1,0.002469166
CCc1c(C)cc(C)c(C)c1,0.002094603
CCc1c(C)cc(C)c(C)c1,0.001818711
c1(C)c(C)c(CC)c(C)cc1,0.003843936
c1(C)c(C)c(CC)c(C)cc1,0.002988889
c1(C)c(C)c(CC)c(C)cc1,0.002445018
c1(C)c(C)c(CC)c(C)cc1,0.002068605
c1(C)c(C)c(CC)c(C)cc1,0.001792629
c1(C)c(C)c(C)c(CC)cc1,0.003843936
c1(C)c(C)c(C)c(CC)cc1,0.002979272
c1(C)c(C)c(C)c(CC)cc1,0.002432173
c1(C)c(C)c(C)c(CC)cc1,0.002054833
c1(C)c(C)c(C)c(CC)cc1,0.001778853
C=C(C)C(C)(C)C,0.006123699
C=C(C)C(C)(C)C,0.004756582
C=C(C)C(C)(C)C,0.003888478
C=C(C)C(C)(C)C,0.003288338
C=C(C)C(C)(C)C,0.002848678
n1c(C)cc(C)cc1(C),0.004367575
n1c(C)cc(C)cc1(C),0.003448187
n1c(C)cc(C)cc1(C),0.002848556
n1c(C)cc(C)cc1(C),0.002426581
n1c(C)cc(C)cc1(C),0.002113495
COP(=O)(OC)OC,0.004405286
COP(=O)(OC)OC,0.003474182
COP(=O)(OC)OC,0.002868
COP(=O)(OC)OC,0.002441928
COP(=O)(OC)OC,0.002126076
COB(OC)OC,0.004181476
COB(OC)OC,0.003776435
COB(OC)OC,0.003442933
COB(OC)OC,0.003163556
COB(OC)OC,0.002926116
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.003829217
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.002836175
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.002252125
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.001867544
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.001595151
C=C[Si](OC)(OC)OC,0.00567698
C=C[Si](OC)(OC)OC,0.004117726
C=C[Si](OC)(OC)OC,0.003230444
C=C[Si](OC)(OC)OC,0.002657754
C=C[Si](OC)(OC)OC,0.00225754
[Si](OC)(OC)(OC)CCCS,0.005
[Si](OC)(OC)(OC)CCCS,0.003679345
[Si](OC)(OC)(OC)CCCS,0.002910573
[Si](OC)(OC)(OC)CCCS,0.002407536
[Si](OC)(OC)(OC)CCCS,0.002052756
CC(C)C[Al](CC(C)C)CC(C)C,0.003604253
CC(C)C[Al](CC(C)C)CC(C)C,0.002995469
CC(C)C[Al](CC(C)C)CC(C)C,0.002562624
CC(C)C[Al](CC(C)C)CC(C)C,0.002239078
CC(C)C[Al](CC(C)C)CC(C)C,0.001988072
