,Task,MAE,v1,,,,,,,,,,,,Range
0,tk,1.120002728,0.84736361706,,,,,,,,,,,,5.350286292
1,vp,0.266813593,0.839562591361111,,,,,,,,,,,,4.805505789
2,vd,0.344283071,0.973305604688889,,,,,,,,,,,,3.487590945
3,lipo,1.029744417,0.890515390066667,,,,,,,,,,,,4.052517228
4,solubility,0.484530968,0.785068831126667,,,,,,,,,,,,4.24547045
5,U,0.376040623,0.718382363522222,,,,,,,,,,,,4.697801026
6,D,0.639641997,0.914378861012889,,,,,,,,,,,,4.304738737
7,PSA,1.177627034,0.679510076351889,,,,,,,,,,,,5.333754598
8,LC50,0.61919568,0.975028295442333,,,,,,,,,,,,4.291291861
9,plC50,0.555497136,0.754394610466667,,,,,,,,,,,,4.452354114
