,true_1,pred_1,true_10,pred_10,true_13,pred_13
0,-0.110181816,-0.23382008,-0.08380869,-0.01738841,-0.07652506,0.25452098
1,0.15300858,0.115905754,-0.18463618,0.5458797,0.46296695,-0.66496027
2,1.1079444,-0.37915206,0.04693464,-0.23652594,-0.63283575,0.078733064
3,-3.1493602,0.35015672,-0.38518313,-0.5979522,0.7255973,0.44098917
4,1.0198077,-1.0969123,-0.57797414,0.42548075,0.48107937,-1.1458529
5,0.5434161,0.08150457,2.4147184,0.3087836,-0.87153184,0.9718555
6,0.95481294,-0.18407299,-1.5618731,0.50885004,-0.4193677,-0.17912157
7,-0.19202769,-0.58961636,-0.055000838,0.2864464,0.7100724,-0.024139114
8,0.15507635,0.086674854,1.0618575,-0.12367906,-0.45688635,0.62820596
9,-0.62855273,0.09785837,-0.4295029,-0.075462915,-0.34691793,0.2900227
10,-0.848684,0.21562074,-0.22341597,0.2683116,-0.71046054,0.13019818
11,-0.2945921,-0.14851157,-0.004033099,-0.18417169,-1.3806208,-0.1802797
12,-0.10414683,0.13056457,-0.80622095,0.30473715,0.106539965,1.2626132
13,-0.34281957,0.18791167,-0.5879461,0.33397165,1.1913458,-0.6843503
14,1.1307139,-0.6146913,-0.12702046,0.28569525,2.1901176,0.11013701
15,-0.6905402,0.06750807,-0.73863333,-0.5492948,0.59104776,-0.27484435
16,0.25191388,-0.29110098,-1.201775,0.6500175,-0.601139,0.057037745
17,0.10959038,-0.1593441,-1.0078759,-0.17167869,-0.20331216,0.1153796
18,0.2581354,-0.70536417,0.24415763,-0.040882234,-0.38831782,0.0061216457
19,-0.6633681,-0.17430246,-0.4538788,-0.058350164,0.926128,-0.7417563
