,true_1,pred_1,true_4,pred_4
0,-0.32348168,-0.26590705,0.9311782,0.8422079
1,-0.82219076,0.5391464,0.7310649,0.26457354
2,-0.18051392,-0.3027466,-3.1256642,0.01187879
3,-0.73224866,-0.76000696,1.534117,0.31560284
4,-1.3000923,1.4161774,1.0143422,-0.2531776
5,-0.5060508,-0.1129433,0.039764393,0.71037984
6,-1.6994624,-1.7305032,-0.38645095,0.29406962
7,-1.4209102,0.3216331,-0.68532145,0.074500024
8,-0.37382245,0.60964215,-0.20972753,0.35078776
9,0.0336021,0.25143045,1.6432697,0.39851746
10,-1.0168418,-0.25040895,0.042363267,-0.2063948
11,-0.34965888,-0.20915236,0.07614863,-0.3808947
12,-0.68593514,0.6222088,1.5860945,0.2150192
13,-0.7456728,-0.7556193,-1.6313117,-0.36897755
14,-0.67519575,0.011548594,-0.612553,0.2571552
15,-0.02076592,-0.27055544,-0.9919886,-0.13266972
16,0.04299904,-1.0483073,-0.20452978,0.28418034
17,0.45646447,-0.75400436,0.3412338,0.060826853
18,2.3861935,0.66159374,1.5419136,-0.01098883
19,0.15240629,0.6117706,0.7726469,0.19026566
20,0.7511257,0.91306436,0.5569403,0.58072925
21,0.32222244,0.2448472,-1.4649837,-0.45389217
22,0.12555788,0.09639123,-0.2019309,0.057947546
23,0.4329721,1.2416044,-0.8750393,0.18946789
24,-0.6114308,0.041361958,0.8428165,1.1647398
25,0.08260044,0.428492,-0.20452978,1.1485467
26,-0.91683143,-0.662078,-0.79967195,-0.09059465
27,0.3866586,-0.6895509,-1.5351533,0.7368418
28,0.87261474,0.94785774,1.0923084,0.27563834
29,-0.77923334,-1.204213,1.0767151,0.8035628
30,-1.0389917,-0.3729685,-0.99978524,-0.038651377
31,-1.2725728,-1.2750052,-1.0023841,0.26266056
32,0.34370118,-0.519103,0.024171147,0.7150979
33,0.89476466,0.18080787,-1.5741364,-0.24260868
34,-0.110036865,0.4180348,-1.1453222,-0.052734762
35,-0.122118644,-0.18234737,0.1697081,0.44531438
36,2.5217779,0.38582838,0.024171147,0.75375646
37,-0.6114308,-1.8094894,0.3412338,1.7377162
38,-0.03351891,0.26349533,0.43479326,0.14669621
39,-0.13822769,-0.44203448,-0.2928915,0.051745057
40,0.23026666,-0.07458107,-0.36565995,0.49486834
41,-0.3832194,0.72478324,0.7024773,0.6818981
42,1.010884,0.6485549,0.30484954,0.14967543
43,-1.4464161,-0.6935626,0.84541535,0.0032644141
44,0.16985776,-0.36258602,1.1234949,0.7340981
45,-0.2120608,-0.099548295,0.8506131,0.5314208
46,-1.4994417,-1.3423123,1.0247377,0.5615415
47,-0.5570628,0.32311004,0.6556975,0.6031531
48,-2.3169756,0.72946954,-1.6105206,-0.46794248
49,0.26449838,0.8397535,0.17750472,0.7345604
